study,study6,study8,study9,study10,study11,study12,condition,punonly,helponly,helpfirst,TG,q1correct,q2correct,q3correct,q4correct,q5correct,q6correct,q7correct,compscore,perfectcomp,compscoreTG,perfectcompTG,postqcorrect,crt,highcrt,help,punish,return,anger,bad,deservep,outrage,compassion,deserves,good,posemot,age,male,edu,income,NFC,FII
9,0,0,1,0,0,0,Helping Only,0,1,,1,1,1,1,1,0,0,1,4,1,1,0,,,,1,,50,,,,,56,56,67,59,23,0,4,3,,
9,0,0,1,0,0,0,Helping Only,0,1,,1,1,1,1,0,0,1,1,3,0,2,0,,,,1,,50,,,,,100,100,100,100,47,0,2,7,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,3,1,0,1,,,,,,,,,,31,1,5,8,2,4
11,0,0,0,0,1,0,Punishment Only,1,0,,1,0,1,1,1,1,0,1,3,0,2,0,,,,,0,50,,,,,,,,,28,0,4,3,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,0,0,0,,1,,100,,,100,,,,,23,0,4,3,1,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,0,,,,3,0,,,0,0,0,,1,,50,,,50,,,,,64,0,5,5,2,5
11,0,0,0,0,1,0,Helping Only,0,1,,1,0,1,1,0,1,1,0,2,0,2,0,,0,0,1,,50,,,,,,,,,25,0,5,4,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,3,1,,0,,70,,,70,,,,,25,1,6,8,4,3
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,,3,1,1,0,,,,,,,,,,24,1,6,10,2,3
8,0,1,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,,,,1,1,,67,67,67,67,44,44,78,56,50,0,4,6,,
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,,,,1,,,,,,,,,,24,0,4,6,2,4
9,0,0,1,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,3,1,,0,,0,0,0,0,,,,,25,1,2,4,,
8,0,1,0,0,0,0,Helping Only,0,1,,0,0,1,1,1,,,,3,0,,,,,,1,,,,,,,44,44,100,63,32,0,4,4,,
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,0,1,1,1,1,3,0,3,1,,,,,0,50,,,,,,,,,36,0,3,4,2,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,0,0,0,1,,,,1,0,,,0,0,0,,1,,50,,,50,,,,,27,0,2,5,3,2
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,0,2,1,,0,,40,,,40,,,,,30,0,6,9,3,3
11,0,0,0,0,1,0,Punishment + Helping,0,0,0,1,1,1,1,1,1,0,1,4,1,2,0,,,,1,0,50,,,,,,,,,22,1,5,5,,
11,0,0,0,0,1,0,Helping Only,0,1,,1,1,1,1,1,1,0,1,4,1,2,0,,,,1,,50,,,,,,,,,36,1,5,10,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,2,1,0,0,,0,,,0,,,,,32,1,5,5,5,5
9,0,0,1,0,0,0,Punishment + Helping,0,0,0,0,0,1,1,1,,,,3,0,,,,,,1,1,,44,56,56,52,44,44,67,52,65,0,5,6,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,2,1,,0,,50,,,50,,,,,29,0,5,6,3,5
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,3,1,1,1,,60,,,60,,,,,62,1,5,7,2,2
11,0,0,0,0,1,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,,,,0,0,,,,,,,,,23,0,6,6,,
12,0,0,0,0,0,1,Helping Only,0,1,,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,,20,,,,,,,,,26,1,6,6,,
11,0,0,0,0,1,0,Punishment Only,1,0,,1,0,1,0,1,1,1,1,2,0,3,1,,,,,0,30,,,,,,,,,25,1,6,4,,
11,0,0,0,0,1,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,,,,1,50,,,,,,,,,26,0,5,4,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,0,50,,,,,,,,,39,1,5,10,1,4
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,2,1,0,0,,0,,,0,,,,,21,1,2,8,2,4
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,0,0,0,0,,,,0,0,,,0,0,0,0,0,,0,,,0,,,,,30,0,6,8,3,3
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,1,0,,1,,70,,,70,,,,,27,1,6,4,2,2
9,0,0,1,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,1,0,1,,,,,,,22,78,100,67,28,1,5,6,,
8,0,1,0,0,0,0,Helping Only,0,1,,0,1,1,1,0,,,,3,0,,,,,,0,,,,,,,56,78,78,70,31,1,2,4,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,3,1,,1,,70,,,70,,,,,62,0,2,1,5,3
11,0,0,0,0,1,0,Punishment + Helping,0,0,1,1,1,1,1,1,1,1,1,4,1,3,1,,,,0,0,0,,,,,,,,,18,1,2,6,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,0,1,1,0,,,,2,0,,,1,2,1,,0,,0,,,0,,,,,24,1,2,4,2,4
9,0,0,1,0,0,0,Punishment Only,1,0,,0,1,0,1,0,,,,2,0,,,,,,,1,,0,44,22,22,,,,,30,0,4,8,,
12,0,0,0,0,0,1,Punishment Only,1,0,,1,0,1,1,1,1,1,1,3,0,3,1,,,,,1,50,,,,,,,,,23,1,5,10,,
9,0,0,1,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,2,1,,0,,44,33,22,33,,,,,32,0,5,8,,
9,0,0,1,0,0,0,Punishment Only,1,0,,1,1,1,1,0,1,1,1,3,0,3,1,,,,,0,50,11,11,11,11,,,,,37,1,4,5,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,,,0,0,,,,,,,,,,55,0,4,1,1,5
11,0,0,0,0,1,0,Punishment + Helping,0,0,1,1,1,1,1,1,1,1,1,4,1,3,1,,1,0,1,0,0,,,,,,,,,32,1,5,1,,
11,0,0,0,0,1,0,Helping Only,0,1,,1,1,1,1,1,1,0,1,4,1,2,0,,,,1,,50,,,,,,,,,21,1,4,1,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,1,50,,,,,,,,,24,1,5,7,2,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,2,1,,0,,0,,,0,,,,,31,1,5,6,4,3
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,,,0,0,,,,,,,,,,30,1,5,6,5,3
8,0,1,0,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,,,0,,,,,,,0,0,89,30,29,1,5,6,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,1,0,1,1,0,1,1,1,2,0,3,1,,,,0,1,10,,,,,,,,,35,0,5,9,5,3
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,,,,1,,,,,,,,,,38,1,4,6,1,2
8,0,1,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,1,0,,0,,67,67,67,67,,,,,37,0,4,3,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,0,1,1,1,,,,3,0,,,0,0,0,1,0,,10,,,10,,,,,42,0,5,10,2,5
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,,,,0,,,,,,,,,,33,1,5,9,4,4
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,2,1,,0,,,,,,,,,,54,0,5,8,3,4
9,0,0,1,0,0,0,Punishment Only,1,0,,1,0,1,1,0,1,0,1,2,0,2,0,,,,,0,90,56,56,44,52,,,,,37,0,5,5,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,,0,0,1,0,60,,,,,,,,,29,1,4,7,5,5
11,0,0,0,0,1,0,Helping Only,0,1,,1,1,0,1,0,1,0,0,2,0,1,0,,0,0,1,,60,,,,,,,,,25,1,6,7,,
